Id,Module Name,Key,Server Code,Application,Owner(Team),Managed by Heliopolis?
2,deathBURRITO,deathburrito,burr,deathBURRITO,Cloud Ninjas,TRUE
3,RADT,radt,radt,RADT,Cloud Ninjas,TRUE
7,MADT (Linux),madtlinux,,Eye of RA,Cloud Ninjas,FALSE
8,MADT (Windows),madtwin,,Eye of RA,Cloud Ninjas,FALSE
9,Subversion (Source Code),svn,,Subversion,Dynamites,FALSE
10,Bamboo Web,bamboo,,Bamboo,Dynamites,FALSE
11,Artifactory,artifactory,,Artifactory,Cloud Ninjas,FALSE
13,Academic Affairs Administration (A3),a3,,Governance,Philomaths,FALSE
14,Academic Violations Tracking System (AVT),avt,,Governance,Philomaths,FALSE
17,Account Summary,asum,,Account Summary,Bank Roller$,FALSE
18,Admissions Workbench (Evaluation),evaluation,,Admissions Workbench,Philomaths,TRUE
19,All-in-One (LMS Admin)  (To Be Deleted),aio,,All-In-One,Premium,FALSE
21,Apollo Survey and Assessment Platform (ASAP),asap,,eCampus Classroom Services,Premium,FALSE
22,ApplyWeb,applyweb_ui,,MyApply,Phoenix Rising,FALSE
24,AWForms,awforms,,AW Forms,404's,TRUE
26,AWSupport,awsupport,,AW Forms,404's,TRUE
31,CAS - Internal,cas,,Single Sign-On (SSO),Skynet,FALSE
33,ClassOps Workbench (CWB),cwb,,CWB - ClassOps WorkBench,Premium,TRUE
34,Class Roster - FAResources,far,,FAResources,Premium,FALSE
36,Classroom Issue Tracking System (CIT),cit,,Governance,Philomaths,FALSE
37,Classroom Issue Tracking System - Ground Campus (CIT-GC),citgc,,Governance,Philomaths,FALSE
39,Classroom Materials,cmat,,Classroom Materials,Winterfell Wolves,FALSE
42,College Level Examination Program (CLEP),clep,,Workbench,Philomaths,FALSE
43,Commencement Web,cweb,,Commencement Web & Admin,Premium,FALSE
44,Commencement Web Admin,commencewebadmin,,Commencement Web & Admin,Premium,FALSE
46,Community Profile,cp,,Profile - global,Avatars,FALSE
49,Atlassian - Confluence,wiki,,Atlassian - Confluence,Dynamites,FALSE
50,Content Area Request (CAR) - FCServices,car,,FCServices,Philomaths,FALSE
51,Correspondence Generation (Corrgen),corrgen,,Correspondence Generation,Philomaths,FALSE
53,Curriculum Guide,cguide,,Program,Premium,FALSE
54,Degree Audit,degreeaudit,,Degree Audit,Philomaths,TRUE
56,Diploma Application Online (DAO),dao,,DAO - Diploma Application Online,Premium,FALSE
57,Diploma Application Online (DAO) Admin Tool,daoadm,,DAO - Diploma Application Online,Premium,FALSE
60,Discussion Forums,forums,,OLS3,Winterfell Wolves,FALSE
62,eBooks PPDF Publisher,ppdfpublisher,,eBook,Winterfell Wolves,FALSE
65,Employee Management System (EMS),ems_ear,,EMS - Employee Management System,Philomaths,TRUE
67,eXp/Documentum - eXp,exp,,eXp/Documentum,404's,TRUE
68,Faculty 1098T,f1098t,,1098T,Capital Gain$,FALSE
69,Faculty 401k,f401k,,FAAccount,Premium,FALSE
70,Faculty Acknowledgement - FAResources,fackfar,,FAResources,Premium,FALSE
71,Faculty Center,fc_ear,,Faculty Center,Philomaths,TRUE
72,Faculty Confirmation,fconf,,Message Center,Premium,FALSE
75,Faculty Forms,fform,,FAAccount,Premium,FALSE
77,Faculty Profiles,fprof,,Profile - global,Avatars,FALSE
78,Faculty Program Handbook,fphb,,Program Handbooks,Premium,FALSE
79,Faculty Solicitations - FCServices,fsol,,FCServices,Philomaths,FALSE
81,Faculty Tutorials,ftut,,FAResources,Premium,FALSE
82,Faculty Webs,fweb,,Faculty Webs,Philomaths,FALSE
83,FASt (Dilbert),fast,,FASt,Philomaths,FALSE
88,Global Governance System (GGS),ggs,,Governance,Philomaths,TRUE
